NAME,LANGUAGE
http://www.cnn.com,"Request (#1): ""http://www.cnn.com/"""
http://www.cnn.com,"Request (#2): ""https://www.cnn.com/"""
http://www.cnn.com,"Request (#3): ""https://edition.cnn.com/"""
http://www.cnn.com,"Request (#4): ""https://edition.cnn.com/.a/bundles/header.2794584548f56b674d6e.bundle.js"""
http://www.cnn.com,"Request (#5): ""https://edition.cnn.com/.a/2.130.2/js/cnn-header-second.min.js"""
http://www.cnn.com,"Request (#6): ""https://cdn.optimizely.com/js/128727546.js"""
http://www.cnn.com,"Request (#7): ""https://cdn.cnn.com/analytics/cnnexpan/jsmd.min.js"""
http://www.cnn.com,"Request (#8): ""https://edition.cnn.com/.a/2.130.2/js/cnn-footer-lib.min.js"""
http://www.cnn.com,"Request (#9): ""https://edition.cnn.com/.a/2.130.2/js/gigya-sharebar.min.js"""
http://www.cnn.com,"Request (#10): ""https://a.postrelease.com/serve/load.js?async=true"""
http://www.cnn.com,"Request (#11): ""https://edition.cnn.com/.a/2.130.2/js/cnn-analytics.min.js"""
http://www.cnn.com,"Request (#12): ""https://native.sharethrough.com/assets/sfp.js"""
http://www.cnn.com,"Request (#13): ""https://static.chartbeat.com/js/chartbeat_mab.js"""
http://www.cnn.com,"Request (#14): ""https://cdn.cookielaw.org/geoswitch/d22a6b50-6c73-4070-8922-86c722dd1f35.js"""
http://www.cnn.com,"Request (#15): ""data:image/webp;base64,UklGRkoAAABXRUJQVlA4WAoAAAAQAAAAAAAAAAAAQUxQSAwAAAABBxAR/Q9ERP8DAABWUDggGAAAADABAJ0BKgEAAQADADQlpAADcAD++/1QAA=="""
http://www.cnn.com,"Request (#16): ""https://geo.ngtv.io/locate?appId=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJwbGF0Zm9ybSI6IndlYiIsInByb2R1Y3QiOiJhZGZ1ZWwiLCJuZXR3b3JrIjoiY25uIiwiYXBwSWQiOiJjbm4tYWRmdWVsLXdlYi14bWQ2dTkifQ.N-lYZh_mvCV2gChDusNhd85B2BD7AiCIcNY2Gr5Rc6c"""
http://www.cnn.com,"Request (#17): ""https://js-sec.indexww.com/ht/p/186370-129055748395673.js"""
http://www.cnn.com,"Request (#18): ""https://cnn.sdk.beemray.com/content/websdk/39a34d8d-dd1d-4fbf-aa96-fdc5f0329451?source=aHR0cHM6Ly9lZGl0aW9uLmNubi5jb20v"""
http://www.cnn.com,"Request (#19): ""https://cdn.adsafeprotected.com/iasPET.1.js"""
http://www.cnn.com,"Request (#20): ""https://www.googletagservices.com/tag/js/gpt.js"""
http://www.cnn.com,"Request (#21): ""https://c.amazon-adsystem.com/aax2/apstag.js"""
http://www.cnn.com,"Request (#22): ""https://www.ugdturner.com/xd.sjs"""
http://www.cnn.com,"Request (#23): ""https://cdn.krxd.net/controltag?confid=teff18ls8"""
http://www.cnn.com,"Request (#24): ""https://cdn3.optimizely.com/js/geo2.js"""
http://www.cnn.com,"Request (#25): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_entertainment.png"""
http://www.cnn.com,"Request (#26): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_travel.png"""
http://www.cnn.com,"Request (#27): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_style_new.png"""
http://www.cnn.com,"Request (#28): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/menu_health.png"""
http://www.cnn.com,"Request (#29): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/vr/vr_new_asset.png"""
http://www.cnn.com,"Request (#30): ""https://cdn.cnn.com/cnn/.e1mo/img/4.0/logos/logo_cnn_nav_bottom.png"""
